"Sex","Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","target"
"F",0.625,0.49,0.155,1.2085,0.465,0.162,0.411,"11"
"F","BI3fMUY6TL",0.49,"W5haPQprFR","YcCXQOLqrm",0.5895,0.285,0.381,"11"
"M",0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,"14"
"M",0.635,0.51,0.17,1.3555,0.619,0.305,0.39,"9"
"F",0.635,0.5,0.15,1.376,0.6495,0.361,"pJpgV2AZgS","10"
"JrocCa08nY",0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,"9"
"F",0.64,0.51,0.165,1.486,0.7595,0.332,0.321,"8"
"M",0.65,"mjxk1eK279",0.175,1.4715,0.675,0.315,0.399,"11"
"M",0.655,0.52,0.165,1.4095,0.586,0.291,0.405,"9"
"M",0.655,"Vt7WUXYlph","QQXmGkSg39",2.0805,0.959,0.3415,0.601,"17"
"M",0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,"15"
"I8Qko2xCeO",0.66,0.52,0.19,1.558,0.755,0.298,0.4,"10"
"F",0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,"10"
"F",0.675,"PJAEGbOX9l",0.17,1.8095,0.784,0.391,0.455,"12"
"F",0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,"9"
"F",0.68,0.56,0.195,1.7775,0.861,0.322,0.415,"11"
"F",0.685,0.54,0.16,1.6675,0.833,"V9orCJYvIk",0.475,"11"
"F",0.695,0.56,0.22,1.834,0.8455,0.422,0.455,"11"
"M",0.73,0.595,0.23,2.8255,1.1465,0.419,"epeogCClsG","17"
"I",0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,"6"
"I",0.24,0.175,0.055,0.0705,0.025,0.014,0.021,"5"
"I",0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,"3"
"I",0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,"6"
"I",0.255,0.18,0.055,0.083,0.031,0.0215,"Dtkcl8swrb","4"
"I",0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,"6"
"I",0.28,0.12,0.075,0.117,"3gMz6Xzi4u",0.029,0.0345,"4"
"I",0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,"5"
"I",0.3,0.235,0.08,0.131,0.05,0.0265,0.043,"4"
"I",0.3,0.23,0.095,0.1385,"twh0ogIZXf",0.0365,0.037,"6"
"I",0.305,0.22,0.07,0.141,0.062,0.031,0.037,"5"
"I",0.315,0.235,0.075,0.1485,0.0585,0.0375,"b4uk69eXMZ","6"
"I",0.315,0.23,0.07,0.144,0.053,0.0305,0.04,"8"
"I",0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,"5"
"I",0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,"6"
"I",0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,"6"
"I",0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,"7"
"I",0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,"7"
"I","vSMcDeUQOi","FRPCEjRlNW",0.075,0.1785,0.0665,0.0455,0.045,"5"
"I",0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,"7"
"I",0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,"7"
"I",0.37,0.29,0.095,0.249,0.1045,0.058,0.067,"6"
"I",0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,"7"
"I",0.375,0.28,0.09,0.215,0.084,0.06,0.055,"6"
"I",0.385,0.265,0.08,0.251,0.124,0.037,0.07,"6"
"I",0.41,0.31,0.09,0.339,0.155,0.0695,0.09,"7"
"I","f9DMdvIMIV",0.305,0.09,0.3535,0.157,0.0745,0.1,"7"
"I",0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,"6"
"I",0.415,0.33,0.09,0.3595,0.17,0.081,0.09,"6"
"I",0.42,0.32,0.115,0.376,0.169,0.092,0.1,"5"
"I",0.42,0.315,0.1,0.3435,"YvGLUjmser",0.0795,0.09,"6"
"I",0.425,0.34,0.1,0.382,0.164,0.096,0.1,"6"
"I",0.425,0.315,0.1,0.377,0.1645,0.072,0.105,"6"
"rtqZ04XKqG",0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,"7"
"I",0.43,0.325,0.09,0.425,0.217,0.087,0.095,"7"
"I",0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,"8"
"I",0.435,"doEy7C6u7b",0.115,0.3925,0.1825,0.078,0.1145,"6"
"I",0.44,0.345,"Pd37dPC1Ra",0.4495,0.209,0.0835,0.134,"6"
"I",0.44,0.325,0.09,0.35,0.148,0.067,0.105,"7"
"F",0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,"6"
"OqoQKf8B6M",0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,"7"
"I",0.45,0.36,0.13,0.478,0.191,0.127,0.137,"7"
"I",0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,"8"
"I",0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,"7"
"I",0.45,0.335,0.105,0.447,"wJkQ1Yn0nT",0.153,"sgw6g72qA2","7"
"I",0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,"7"
"I",0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,"6"
"I",0.46,0.36,"dGwnI4Lb4g",0.4635,0.2325,0.093,0.115,"7"
"I",0.46,0.345,0.105,0.449,0.196,"XFe1Xjyg9a",0.1265,"7"
"I",0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,"7"
"I",0.465,0.37,0.115,0.534,0.261,0.098,0.143,"7"
"I",0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,"7"
"F",0.465,0.35,0.125,0.482,0.23,0.106,0.1095,"6"
"M",0.47,0.365,0.12,0.612,0.327,0.15,0.14,"8"
"F",0.47,0.365,0.12,0.582,0.29,0.092,0.146,"8"
"M",0.475,0.37,0.125,0.537,0.222,0.1215,0.15,"9"
"F",0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,"6"
"M",0.48,0.375,"UavoSqNEqv",0.6765,0.3205,0.1065,0.17,"6"
"M",0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,"6"
"M",0.48,0.36,"fQN90BFmoX",0.439,0.194,"jVWDyt7I5E",0.115,"8"
"M",0.48,0.365,0.12,0.6015,0.312,0.117,0.14,"7"
"F",0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,"7"
"M",0.49,0.385,0.125,0.649,0.32,0.124,0.1695,"8"
"M",0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,"8"
"jMWy7aGERd",0.495,0.4,0.135,0.61,0.272,0.1435,0.144,"7"
"M","flSSxDs8dM",0.39,"9WMN1IXQf0",0.6595,0.3145,0.1535,0.1565,"6"
"I",0.5,0.385,0.12,0.56,0.2835,0.103,0.135,"8"
"M",0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,"7"
"M",0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,"7"
"F",0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,"9"
"I",0.505,0.39,0.15,0.685,0.362,0.131,0.156,"8"
"M","G7iiuJPRD6",0.41,0.125,0.642,0.289,"JPGumNWPXQ",0.155,"9"
"I",0.505,0.355,0.125,0.601,0.25,0.1205,0.185,"8"
"M",0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,"8"
"I",0.51,0.375,"6ZNuXm6yVb",0.5785,"WR05WEkyvL",0.1225,"JRjVcZJN6S","7"
"I",0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,"7"
"M",0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,"8"
"M",0.51,0.41,"g9C2P5pcmI",0.796,0.3865,0.1815,0.1955,"8"
"F",0.515,0.43,0.14,0.834,0.367,0.2,0.23,"8"
"M",0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,"7"
"F",0.525,0.415,0.14,0.724,0.3475,0.173,0.175,"8"
"M",0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,"11"
"F",0.53,0.425,0.13,0.7585,0.325,0.197,0.205,"8"
"uymC3znxsl",0.53,0.425,0.15,0.8495,0.328,0.232,0.202,"8"
"MsbFuPQzui",0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,"7"
"F",0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,"8"
"cMCdc0b6IR",0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,"8"
"VD3hNdAsUC",0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,"8"
"F",0.55,0.445,0.155,0.9905,0.544,"OMnyhy9hoo",0.218,"9"
"F",0.55,"DbXAMb8Bfb",0.14,0.8105,0.368,0.161,0.275,"9"
"F",0.56,0.455,0.16,"BiH4wcMFlS",0.4525,0.207,0.274,"9"
"F",0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,"8"
"M",0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,"10"
"M",0.57,0.45,0.155,1.1935,0.513,0.21,0.343,"10"
"F",0.57,0.455,0.15,1.107,0.54,0.255,0.27,"8"
"M",0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,"8"
"M",0.57,0.46,0.17,"hFM7exbSCJ",0.4075,0.1935,0.214,"7"
"M",0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,"9"
"F","7WXEjBXoeV",0.46,0.16,1.103,0.538,0.221,0.249,"9"
"F",0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,"7"
"F",0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,"8"
"geXyjEwvux",0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,"10"
"F",0.58,"uH1mN36Rry",0.145,1.137,0.5585,"tSsC2wtW7H",0.29,"8"
"M",0.58,0.49,0.13,1.1335,0.586,"WPOumXJoJF",0.237,"9"
"M",0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,"11"
"M",0.59,0.47,0.16,"tmz4QWcYRZ",0.479,0.2425,0.309,"8"
"F",0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,"8"
"F","SZpkKo57Yz",0.47,0.155,1.121,0.4515,0.178,0.155,"11"
"F",0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,"11"
"M",0.595,0.475,0.165,1.213,0.621,0.2435,0.274,"9"
"F",0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,"9"
"M",0.595,0.455,0.15,1.044,0.518,0.2205,"YvalQjXwHt","9"
"F",0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,"9"
"M",0.605,0.475,0.155,1.161,0.572,0.2455,0.275,"9"
"M",0.605,0.47,"flTqYa59Nk",1.2315,0.6025,0.262,0.2925,"11"
"M",0.61,0.47,0.15,1.1625,0.565,"Lgl8OSCU48",0.3085,"11"
"M",0.61,0.475,0.155,1.168,0.554,"ahrQspk6uJ",0.3295,"10"
"EqCg6HohCt",0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,"8"
"F",0.62,0.51,0.18,1.3315,0.594,0.276,0.388,"11"
"F",0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,"10"
"JuyOWdvy7F",0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,"10"
"F",0.625,0.475,0.175,"FmzgqwVOrt",0.4755,0.2475,0.349,"10"
"F",0.625,0.5,"43SWlOysps",1.288,0.573,0.3035,0.315,"9"
"F",0.625,0.485,0.2,1.38,0.5845,0.302,0.401,"9"
"M",0.63,"jhuDn1Pf1S",0.155,1.278,"M2et0WoIX2",0.275,0.31,"8"
"F",0.63,0.495,0.165,1.3075,"FVUS6da3DT",0.284,0.315,"11"
"M","ANgvZhUazV",0.48,"lX5GvPszht",1.1785,0.5185,0.248,0.3235,"8"
"M",0.635,0.49,0.175,"wHvCKVX1C9",0.623,0.2705,0.395,"11"
"wfJXJmk8vT",0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,"10"
"M",0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,"10"
"F",0.64,0.5,0.17,1.5175,0.693,0.326,0.409,"11"
"F",0.64,0.5,0.175,1.394,0.4935,0.291,0.4,"10"
"F",0.645,"kKiJXTmjMe",0.155,1.2205,0.6145,0.236,0.3185,"10"
"M",0.645,0.52,"fEnIoYVDA5",1.636,0.779,0.342,0.432,"11"
"M",0.645,0.52,"WCY01s5DUE",1.561,0.709,"JjMS7nuKvC",0.4,"8"
"eWP3a15PAq",0.645,0.505,0.165,1.4325,0.684,0.308,0.336,"8"
"M",0.645,0.5,0.175,1.3385,0.633,0.299,0.349,"11"
"F",0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,"10"
"F",0.645,0.515,0.15,1.212,0.515,0.2055,0.385,"10"
"M",0.65,0.495,"BuS0YXSW72",1.304,0.57,0.312,0.3725,"9"
"M",0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,"11"
"M",0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,"10"
"F",0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,"9"
"F",0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,"10"
"F",0.66,0.505,0.185,1.528,0.69,0.3025,0.441,"11"
"M",0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,"9"
"M",0.66,"7YAgvGUPZ0",0.195,1.6275,0.594,0.3595,0.485,"10"
"F",0.66,0.475,0.18,1.3695,0.641,0.294,0.335,"6"
"M",0.67,"HKExXqsIo4",0.165,1.6085,0.682,0.3145,0.4005,"11"
"F",0.675,0.57,0.225,1.587,0.739,0.2995,0.435,"10"
"F",0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,"12"
"M",0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,"12"
"M",0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,"8"
"M",0.69,0.505,0.2,1.872,0.893,0.4015,0.48,"10"
"F",0.695,0.535,0.175,"1cRhrNn8Jo",0.8035,0.396,0.503,"10"
"F",0.705,0.535,0.18,1.685,0.693,0.42,0.4045,"12"
"M",0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,"11"
"M","gaCkDlRJN4",0.565,0.175,1.9525,0.7645,0.4185,"33PbGjJBr7","10"
"F",0.715,0.525,0.185,1.56,0.6655,0.383,0.405,"11"
"F",0.735,0.6,0.22,2.555,1.1335,0.44,0.6,"11"
"M",0.765,0.6,0.22,2.302,"0ZqMz39u1P",0.509,0.6205,"12"
"I",0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,"4"
"I","Zgtk2yuiva",0.15,0.045,0.0375,0.018,0.006,0.011,"3"
"I","rfLeR9NFPY","NJQn2dxFMT",0.04,0.0325,0.0135,0.005,0.0095,"4"
"I",0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,"4"
"I",0.225,0.165,0.055,0.059,0.027,0.0125,0.015,"4"
"I",0.245,0.18,0.065,0.071,"hlTlXVWNiu",0.013,0.0215,"4"
"WdD9aXXD1N",0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,"5"
"I",0.265,0.195,0.055,"lB6VLTyTx6",0.0365,"z17eQemV19",0.025,"7"
"I","Xcxw63ITPG",0.195,0.065,0.106,0.054,0.02,0.028,"6"
"I",0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,"5"
"I",0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,"5"
"I",0.3,0.22,0.08,0.1255,"vwuPpYjvKw",0.0265,0.039,"6"
"I",0.315,0.235,0.055,0.151,0.065,0.027,0.039,"6"
"AtCWDE712l",0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,"6"
"I",0.34,0.265,0.08,0.2015,"gcgI4c9WGH",0.0475,0.055,"5"
"I",0.37,0.28,0.1,"dkO6oDHDVC",0.1165,0.0265,0.0635,"6"
"I",0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,"6"
"I",0.375,0.275,0.1,"hf5IITzbqF",0.1165,0.042,0.065,"6"
"I","XU1Tif9Er7",0.29,0.08,0.2485,0.122,0.0495,0.065,"7"
"I","kIs1hEIOB0",0.32,0.095,0.348,0.194,0.053,0.087,"6"
"I",0.405,0.3,0.11,0.32,0.172,0.044,"WKXiM6c6wQ","7"
"I",0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,"7"
"KBcKpmHLRn","bqlxQaHEcN",0.325,0.1,0.3245,0.132,0.072,0.106,"6"
"I",0.42,"2yRQGcy2ic",0.105,0.316,0.1255,0.07,0.1035,"7"
"I",0.42,"0b6EVtTPWC","jb1PnkmBgd",0.3625,0.174,0.0635,0.105,"7"
"I",0.42,0.31,0.095,0.279,0.1255,0.051,0.088,"6"
"I","KnALGuWqCl","ZXWV1Wytc8",0.115,0.3685,0.162,0.0865,0.1045,"7"
"M",0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,"7"
"I",0.435,0.33,0.11,0.413,0.2055,0.096,0.096,"6"
"I",0.435,0.345,0.115,0.418,0.222,0.0735,0.106,"7"
"I",0.44,0.33,"nk3q6hsviA",0.3705,0.1545,0.084,0.12,"7"
"I",0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,"7"
"Uu5sTXnINa",0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,"7"
"I",0.445,0.335,0.11,0.411,0.1985,"8IriedeQ8R",0.109,"8"
"I",0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,"8"
"I",0.45,"m8PpLCzrFu",0.12,0.4925,0.241,0.1075,0.12,"6"
"I",0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,"7"
"I",0.45,0.33,"QTN9kradKj",0.411,0.1945,0.1,0.098,"6"
"I",0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,"6"
"I",0.46,0.35,0.115,0.4155,"ewX5FoRePU",0.098,0.1175,"7"
"M",0.47,0.36,0.105,0.544,0.27,0.1395,0.129,"7"
"I",0.47,"uEqYCagQrf",0.125,0.4845,0.211,0.1075,0.142,"6"
"I","8jr2ar3ylq","XtsrHiVNRM",0.11,0.4565,0.206,0.099,0.13,"6"
"I","Xr0tZaLh21",0.35,0.1,0.4545,"DQYMrYV4rv",0.111,"8Wki3iuos6","7"
"I",0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,"8"
"M",0.49,"IOul4TV7rX",0.125,0.5225,0.235,0.13,0.141,"7"
"I",0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,"7"
"I",0.5,0.375,0.12,0.542,0.215,"4WpkYZxhMA",0.17,"9"
"I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,"8"
"M",0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,"6"
"F",0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,"7"
"I",0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,"8"
"F",0.51,0.4,0.125,0.545,0.261,0.115,0.1385,"6"
"I","7GxOivzlke",0.4,"sOCbqdIKFC",0.5575,0.2615,0.1195,0.1525,"9"
"I",0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,"8"
"I",0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,"8"
"c74Dp4nF7E",0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,"9"
"I",0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,"8"
"I",0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,"8"
"F",0.52,0.46,0.15,1.019,0.523,0.1985,0.254,"7"
"I",0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,"8"
"I",0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,"9"
"M",0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,"9"
"I",0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,"8"
"I",0.53,0.4,0.125,0.617,0.279,0.127,0.19,"8"
"I",0.535,0.39,0.125,0.599,0.2595,0.149,0.169,"9"
"I",0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,"10"
"M",0.545,0.39,0.135,0.7835,0.4225,0.1815,"l3kSSHjk67","7"
"M",0.545,0.41,0.12,0.793,0.434,0.1405,0.19,"9"
"M",0.545,0.415,0.14,0.82,0.4615,0.127,0.218,"9"
"F",0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,"8"
"F",0.55,0.43,0.15,0.84,0.395,0.195,0.223,"8"
"M",0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,"10"
"M",0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,"9"
"M","yeVIoyxXt3",0.445,0.16,0.8965,0.42,0.2175,0.2215,"8"
"F",0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,"8"
"M",0.56,0.415,0.145,0.852,0.43,0.1885,0.205,"8"
"M",0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,"9"
"M",0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,"8"
"F",0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,"9"
"M","DN9lPnaa9l",0.46,0.15,1.0375,0.5415,0.2035,0.25,"9"
"F",0.57,0.445,0.145,0.8775,0.412,0.217,0.22,"8"
"I",0.57,0.44,0.15,"2CSr9nBFzR",0.3425,0.16,0.224,"8"
"F",0.575,0.46,0.145,0.9945,0.466,0.229,"AQDYfySMen","7"
"F",0.575,0.45,0.16,1.068,0.556,0.214,0.2575,"10"
"QrhXnL4JSo",0.575,0.435,0.14,0.8455,0.401,0.191,0.222,"9"
"F",0.575,0.47,0.165,"Au19m3VFGP",0.435,0.197,0.238,"9"
"M",0.575,0.455,0.135,0.907,0.4245,0.197,0.26,"9"
"8vRf4kgPEl",0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,"10"
"M",0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,"9"
"M",0.575,0.445,"juGRA61ntK",0.847,0.415,0.1945,0.22,"9"
"9CQDZXgbv1","488RvugOCU",0.455,0.15,1.114,0.4765,0.2155,0.265,"8"
"M",0.58,0.455,0.195,1.859,0.945,0.426,0.441,"9"
"M","n2uzVst8pM",0.445,0.135,0.814,0.3775,0.1915,0.22,"9"
"M",0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,"9"
"M",0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,"8"
"F",0.58,0.45,0.155,0.93,0.385,0.246,0.265,"9"
"M",0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,"9"
"M",0.585,0.465,0.16,0.9555,"sOqcRrcGvP",0.236,0.265,"7"
"M",0.59,0.47,0.15,0.9955,0.481,0.232,0.24,"8"
"F",0.6,"LlcuQmu0tk",0.16,1.0265,0.485,0.2495,0.2565,"9"
"M",0.6,0.455,"2nLPo3wWBL",1.1915,0.696,0.2395,"ps7guP4xAX","8"
"F",0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,"8"
"M",0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,"10"
"F",0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,"9"
"M",0.605,0.475,0.14,1.1175,0.555,0.257,0.274,"9"
"M",0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,"10"
"F",0.605,0.475,0.165,1.056,0.433,0.2195,0.357,"9"
"M",0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,"8"
"M",0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,"9"
"G91fmCyxnr","1wVKZfVCk3",0.47,0.165,1.052,0.498,0.242,0.267,"9"
"M",0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,"10"
"INSCm4wHzz",0.615,0.465,0.15,0.923,0.4615,0.1825,"CrIm4OkH72","9"
"F",0.615,0.475,"QnK2Y7Ncr7",1.027,0.447,0.25,0.285,"9"
"M",0.62,"0GeOXsJIPH",0.135,1.0195,0.5315,0.2005,0.2475,"8"
"M",0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,"8"
"F",0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,"8"
"F",0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,"9"
"SIrmd00qzk",0.625,0.48,0.185,1.2065,0.587,0.29,0.286,"8"
"M",0.63,0.47,0.155,1.1325,0.589,0.211,0.287,"8"
"M",0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,"10"
"F",0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,"9"
"M",0.64,0.515,0.165,1.369,0.632,0.3415,"O2Wc52Jns8","10"
"M",0.645,0.53,0.195,1.39,0.6465,0.2945,"2pM8ZU8u6q","10"
"F",0.645,0.48,0.17,1.1345,0.528,0.254,0.305,"10"
"F",0.65,0.5,0.19,"5MNrio77Sz","4dIC13uWQz",0.339,0.4245,"9"
"M",0.65,0.5,0.155,1.202,0.565,0.3135,0.294,"11"
"M",0.655,0.515,0.16,1.31,0.553,0.369,"mZUkxP5kSn","11"
"F",0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,"10"
"F",0.66,0.53,0.185,1.346,0.546,0.2705,0.476,"11"
"M",0.665,0.525,0.16,1.363,0.629,0.279,0.34,"8"
"I","bRlbMZtuiJ",0.5,0.17,1.2975,0.6035,0.291,0.3595,"9"
"F",0.67,0.505,0.205,1.3645,0.6075,0.3025,"uhiJNZUe6u","9"
"F",0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,"14"
"M",0.685,0.52,0.165,1.519,0.699,"NcLCLJwDlF",0.4,"10"
"F",0.69,0.54,0.155,"ctjr4Jmoru",0.624,"VRmtSE8cVH",0.39,"9"
"M",0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,"12"
"F",0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,"9"
"M",0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,"10"
"M",0.7,0.565,0.18,1.751,0.895,0.3355,0.446,"9"
"M",0.7,0.575,0.19,2.273,"ntwzWonJTy",0.418,0.638,"12"
"F",0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,"9"
"F",0.705,0.55,0.17,1.219,0.6395,0.236,0.301,"9"
"F",0.71,0.56,0.18,1.652,0.735,0.381,0.4525,"11"
"M",0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,"12"
"M",0.715,0.535,0.19,1.6755,0.889,0.313,0.42,"10"
"F",0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,"10"
"F",0.72,0.55,0.2,"ttlXpu9gPK",0.9035,0.469,0.5215,"10"
"M",0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,"8"
"M",0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,"12"
"F",0.73,"DuwQwmDNKm",0.185,1.8795,0.931,0.38,0.4825,"12"
"M",0.735,0.585,0.185,2.124,0.952,0.55,0.5,"11"
"M",0.745,0.565,0.215,1.931,0.896,0.4585,0.5,"11"
"F",0.75,0.57,0.21,2.236,1.109,0.5195,0.545,"11"
"F",0.755,0.625,"mjFzmcWlyK",2.505,1.1965,0.513,0.6785,"11"
"M",0.755,0.58,0.205,"MovGNPflV1",0.8295,0.4015,0.595,"10"
"F",0.78,0.63,0.215,2.657,1.488,0.4985,0.586,"11"
"I",0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,"6"
"I",0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,"4"
"I","kSherMfInE",0.185,0.065,0.0685,0.0295,0.014,0.0225,"5"
"I",0.25,0.19,0.065,0.0835,0.039,0.015,0.025,"5"
"I",0.275,0.195,0.09,0.1125,0.0545,0.0295,"e58MgKEuUV","6"
"I",0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,"5"
"I",0.31,0.225,"5frfKfuRO7",0.1055,0.435,0.015,0.04,"5"
"I",0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,"5"
"I",0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,"5"
"I",0.325,0.225,0.075,0.139,0.0565,0.032,0.09,"6"
