"Name","Short description","Gender","Country","Occupation","Birth year","Death year","Manner of death","target"
"","","","","","","","",43.0
"","","","","","","","",68.0
"","","","","","","","",90.0
"","","","","","","","",68.0
"","","","","","","","",64.0
"","","","","","","","",70.0
"","","","","","","","",67.0
"","","","","","","","",45.0
"","","","","","","","",71.0
"","","","","","","","",80.0
"","","","","","","","",72.0
"","","","","","","","",85.0
"","","","","","","","",55.0
"","","","","","","","",54.0
"","","","United States of America","","","","",86.0
"","","","United States of America","","","","",78.0
"","second wife of Henry VIII of England, mother of Queen Elizabeth I of England","","","","","","",35.0
"","","","","","","","",75.0
"","","","","","","","",31.0
"","English physicist","","","","","","",83.0
"","","","","","","","",67.0
"","","","","","","","",75.0
"","","","","","","","",81.0
"","","","","","","","",87.0
"","","","","","",1938.0,"",85.0
"","","","","","","","",54.0
"","President of Bolivia (1912-1996)","","","","","","",84.0
"","","","","","","","",68.0
"","","","","","",1947.0,"",74.0
"","","","","","",525.0,"",74.0
"","","","","","","","",28.0
"","","","","","","","",46.0
"","","","","","","","",33.0
"","","","","",1847.0,"","",76.0
"","Soviet general","","","","","","",63.0
"","","","","","","","",85.0
"","","","","","",1912.0,"",58.0
"","","Male","","","",1952.0,"",63.0
"","","","","","","","",80.0
"","French scientist","","","","","","",92.0
"","","","","","","","",43.0
"","","","","","","","",64.0
"","","","","","",1775.0,"",46.0
"","","","","","","","",87.0
"Lilian, Princess of Réthy","","","","Aristocrat","","","",86.0
"","","","","","","","",76.0
"","","","","Artist","","","",70.0
"","","","","","","","",90.0
"","","Male","","","","","",95.0
"","","","","","","","",53.0
"","","","","","","","",26.0
"","","","","","","","",33.0
"","","","","","","","",92.0
"","","","","","","","",84.0
"","","","","","","","",74.0
"","","","","Researcher","","","",80.0
"","","","","","","","",83.0
"","","","","","","","",58.0
"","","","","","","","",50.0
"Walt Whitman","","","","","","","",73.0
"","","","","Researcher","","","",69.0
"","","","","","","","",93.0
"","","","","","","","",83.0
"","","","","","","","",49.0
"","","","","","","","",54.0
"","","","","","","","",77.0
"","","","","","","","",51.0
"","","Female","","","","","",47.0
"","","","","","","","",84.0
"","","Male","","","","","",70.0
"","","","","","","","",67.0
"","","","","","","","",75.0
"","","","","","","","",85.0
"","","","","","","","",70.0
"","","","","","","","",72.0
"","","","","Religious figure","","","",62.0
"","","","United Kingdom; United Kingdom of Great Britain and Ireland","","","","",77.0
"","","","","","","","",77.0
"","","","","","","","",88.0
"","","","","","","","",20.0
"Alfon the Battler","","","","","","","",61.0
"Camillo Caracciolo di Bella","","","","","","","",67.0
"","","","","Researcher","",1938.0,"",42.0
"","","","","","","","",99.0
"","","","","","","","",36.0
"","","","","","","","",78.0
"","","","","","","","",75.0
"","","","United Kingdom; Kingdom of Great Britain","","","","",37.0
"","","","","","",1936.0,"",78.0
"","","","","","","","",49.0
"","","","","","","","",77.0
"","","","","","","","",80.0
"","","","","","","","",96.0
"George Berkeley","","","","","","","",68.0
"","","","","",1889.0,"","",82.0
"","","","","","","","",26.0
"","","","","","","","",67.0
"","","","","","","","",56.0
"","","","","","","","",71.0
"","","","","","",1829.0,"",85.0
"","","Male","","","","","",71.0
"","American football player (1880-1958)","","","","","","",78.0
"","","","","",1868.0,"","",98.0
"","","","","","","","",41.0
"","","","","",1302.0,"","",42.0
"","","","","","","","",66.0
"","","","","","","","",81.0
"","","","","","","","",91.0
"William Denning","","","","","","","",79.0
"","","","","","","","",89.0
"","","","","","","","",88.0
"","","","","","","","",47.0
"","","","","","","","",66.0
"","","","","",1933.0,"","",60.0
"","","","","","","","",94.0
"","","Male","","","","","",89.0
"","","","","","","","",81.0
"Frank McHugh","","","","","","","",83.0
"","","","","","","","",58.0
"","","","","","","","",72.0
"","","","","","","","",88.0
"Pavel Korotkov","","","","",1907.0,"","",76.0
"","","","","","","","",36.0
"","","","","","","","",60.0
"","Swedish sprinter and long jumper","","","","","","",82.0
"","","","","Artist","",1973.0,"",83.0
"","","","","Religious figure","","","",78.0
"","","","Soviet Union; Russian Empire","","","","",70.0
"","Catholic cardinal","","","","","","",78.0
"","","","","","","","",62.0
"","","","","","","","",61.0
"","","","","","","","",42.0
"","American politician (1795-1865)","","","Politician","","","",70.0
"","","","","","","","",92.0
"","","","","","","","",37.0
"","","","","","","","",30.0
"","","","","","","","",84.0
"","","","","","","","",65.0
"","","","","","","","",35.0
"","American politician (1756-1818)","","","","","","",62.0
"","","","United States of America","Artist","","","",75.0
"","","","","","","","",75.0
"","","Male","United States of America","","","","",38.0
"","","Male","","","","","",77.0
"","American congressman for New York (1804-1849)","","","","","","",45.0
"","","Male","","",1915.0,"","",95.0
"","","","","","","","",61.0
"","","","","","","","",65.0
"","","","","","","","",87.0
"","","","","","","","",79.0
"","","","","","","","",65.0
"","French painter and engraver","","","Artist","","","",60.0
"Benjamín González","","","","","","","",53.0
"","","","","","","","",18.0
"","","","","","","","",72.0
"","","","","",1715.0,"","",72.0
"","","","","","","","",52.0
"","","","","","","","",74.0
"","Catholic cardinal","","","","",2010.0,"",93.0
"","","","","",1516.0,"","",42.0
"","","","","","","","",33.0
"","","","","","","","",37.0
"","","","","","","","",76.0
"","","","","","","","",46.0
"","","","","","","","",65.0
"","","","","","","","",53.0
"","","","","Politician","","","",71.0
"","","","","","","","",66.0
"","","","","","","","",67.0
"Charles W. Freeman","","","","","","","",49.0
"","","","","","","","",71.0
"Rodrigo de Castro Pereira","","","","","","","",96.0
"","","","","","","","",24.0
"","","","","","","","",80.0
"","","","","","","","",52.0
"","","","","","","","",56.0
"","","","","",1900.0,"","",92.0
"","","","","","","","",84.0
"Johan Frederik Classen","","","","","","","",67.0
"","","","","","","","",69.0
"","","","","","","","",71.0
"","","Male","","","","","",78.0
"","","","","","","","",25.0
"","","","","Military personnel","","","",54.0
"","","","Hungary","","","","",87.0
"","","","","",1872.0,"","",84.0
"","","","Netherlands; Germany","","","","",73.0
"","","","","","","","",87.0
"","","","","","",1887.0,"",64.0
"Sabahattin Kalender","","","","",1919.0,"","",93.0
"","","","","","",2010.0,"",68.0
"","","","","","","","",48.0
"","","","","","","","",74.0
"","","","Bosnia and Herzegovina","Artist","","","",37.0
"","","","","","","","",66.0
"","","","","","","","",67.0
"","","Male","","","","","",65.0
"","","","","","","","",68.0
"","","","","","",1974.0,"",82.0
"","","","","","","","",82.0
"Bogusław Samborski","","","","","","","",74.0
"","","","","Athlete","","","",74.0
"","","","","","","","",68.0
"","","","","","","","",78.0
"","","","","","","","",46.0
"","","","","","","","",48.0
"Ramadan Shalah","","","","","","","",62.0
"","","","","","","","",83.0
"","","","","","","","",67.0
"","","","","","","","",90.0
"","","","","","","","",46.0
"","","","","","","","",68.0
"","","","","","","","",77.0
"","","","","","","","",74.0
"","","","","","","","",56.0
"","","","","","","","",33.0
"","","","","","","","",63.0
"","","","Italy; Kingdom of Italy","Artist","","","",85.0
"","","","","","","","",88.0
"","","","","","","","",55.0
"","","","","","","","",16.0
"","","","","","","","",87.0
"","","","","","","","",47.0
"","","","","","","","",48.0
"","","","","","","","",77.0
"","","","","Artist","","","",74.0
"","","","Republic of Venice","","","","",73.0
"","","","","","","","",64.0
"","","","","","","","",88.0
"","","","","","","","",95.0
"","","","","","","","",63.0
"","","","","","","","",24.0
"","","","","","","","",68.0
"Eleanor Roosevelt","","","","","","","",78.0
"","","","","Explorer","","","",34.0
"","","","","","","","",38.0
"","","","","","","","",82.0
"","","Male","","","","","",48.0
"","King of Wessex","","","","","","",50.0
"","","","","","","","",86.0
"","","","","","",2007.0,"",71.0
"","","","","","",1998.0,"",92.0
"","","","","","","","",76.0
"","","","","",1585.0,1654.0,"",69.0
"","","","","","","","",56.0
"","","","","","","","",91.0
"","","","","","","","",58.0
"Alexander Prokhorov","","","","","","","",86.0
"","","","","","","","",71.0
"","","","","","","","",89.0
"","","","","","","","",79.0
"","","","","","","","",69.0
"","","","","","","","",59.0
"Michał Sopoćko","","","Poland","","","","",87.0
"","","","","","","","",77.0
"","German police officer","","","Researcher","","","",44.0
"","","","","","","","",86.0
"","","","","Politician","","","",72.0
"Giovanni Passannante","","","","","","","",61.0
"","","","","","","","",61.0
"","","","","","","","",48.0
"","","","","","","","",78.0
"","","Male","","","","","",76.0
"","","","","","","","",82.0
"","","","","","","","",99.0
"","","","","","","","",76.0
"","","","","","","","",74.0
"","Spanish friar","","","","","","",41.0
"","","","","","","","",76.0
"","","","","","","","",90.0
"","","","","","","","",70.0
"","","","","","","","",82.0
"","","","","",1901.0,"","",73.0
"","","","","","","","",65.0
"","","","United States of America; Kingdom of Romania","Artist","","","",80.0
"Karen Hoff","","","","","","","",79.0
"","","","","","","","",60.0
"","","","United States of America","Artist","","","",61.0
"","","","","","","","",99.0
"","","","","","","","",63.0
"","","","","",1876.0,"","",72.0
"","","","","","","","",37.0
"","","","Ming dynasty","","","","",39.0
"","","","France","","","","",87.0
"","","","","","","","",17.0
"","","","","","","","",78.0
"","","","","","","","",83.0
"","","","","",1959.0,"","",50.0
"","","Male","","","","","",42.0
"Samson ben Abraham of Sens","","","","","","","",80.0
"","","","","","","","",66.0
"","","","","","","","",55.0
"","","","","","","","",65.0
"","","","","","","","",38.0
"","","","","","",1991.0,"",36.0
"","","","Austria","","","","",71.0
"","","","","","","","",92.0
"Otto Rank","","","","","","","",55.0
"","","","Austria; Austria-Hungary; Austrian Empire","","","","",81.0
"","","","Habsburg Monarchy; Bishopric of Trent","","","","",65.0
"","","","","","","","",76.0
"Fred Sinowatz","","","","","","","",79.0
"","","","","","","","",35.0
"","","","","","","","",76.0
"","","","","","","","",84.0
"","","","","","","","",85.0
"","","","","","",2006.0,"",94.0
"","","","","","","","",55.0
"","","","","","","","",53.0
"","","","","","","","",51.0
"","","","","","","","",92.0
"","","","","Artist","","","",96.0
"","","","","","","","",29.0
"","Austrian conductor","","","Conductor; music director","","","",87.0
"","","","","","","","",79.0
"","","","","","","","",86.0
"","","","","","","","",81.0
"","Austrian politician; President (1928-1938)","","","","","","",84.0
"","Marxist leader (1885-1939)","","","","","","",54.0
"","","","","","","","",58.0
"","","","","","","","",48.0
"","","","","","","","",50.0
"","","","","",1841.0,"","",77.0
"","","","","","",1461.0,"",38.0
"","","","","","","","",70.0
"Ludwig Boltzmann","","","","","","","",62.0
"","","","","","","","",54.0
"","","","","","","","",33.0
"","","","","","","","",59.0
"","","","Austria; Germany","","",1723.0,"",67.0
"","","","","","","","",74.0
"","","","","","","","",44.0
"Richard Neutra","","","","",1892.0,"","",78.0
"","","","","","","","",70.0
"","","","","","","","",68.0
"","","","","","","","",73.0
"","","","","","",1960.0,"",64.0
"","German actor (1926-2000)","","","Artist","","","",74.0
"","","","","","","","",69.0
"","","","","","","","",70.0
"","","","","","","","",89.0
"","","","","","","","",63.0
"","","","","Artist","","","",58.0
"","","","","","","","",71.0
"","","","","","","","",54.0
"","","","","","","","",24.0
"","","Male","","","","","",84.0
"","","","","","","","",83.0
"","","","Germany","","","","",82.0
"","","","","","","","",65.0
"","","Male","","","","","",68.0
"","","","","","","","",79.0
"","","","","","","","",74.0
"","","","","","","","",90.0
"","","","","","","","",55.0
"","","","","","","","",80.0
"","","","","","","","",68.0
"","","","Germany","","","","",69.0
"","","","","","","","",77.0
"","","","","Politician","","","",89.0
"","","","","","","","",65.0
"","","","","","","","",80.0
"","","","","","","","",87.0
"","","","Austria; United Kingdom","","","","",67.0
"","","","","","","","",24.0
"","","","","","","","",72.0
"","","","","","","","",74.0
"","","","","","","","",72.0
"","","","","","","","",75.0
"","","","","","","","",73.0
"","","","","","","","",63.0
"Alfred Dürr","","","","","","","",93.0
"","","","","","","","",60.0
"","","","","","","","",33.0
"","","","","","","","",72.0
"","","","","","","","",50.0
"","","","","","","","",87.0
"Karl Allmenröder","","","","","","","",21.0
"","","","","","","","",83.0
"","","","Germany","","",1944.0,"",76.0
"","","","","","","","",80.0
"","","","","","","","",74.0
"","","","","","","","",41.0
"","","","","","","","",51.0
"","","","","","","","",64.0
"","","","","","","","",71.0
"","","","","","","","",69.0
"","","","","","","","",70.0
"","","","","","","","",62.0
"","","","","","","","",90.0
"","","","","","","","",37.0
"","","","","","","","",86.0
"","","","","",1547.0,"","",31.0
"","","","","","","","",70.0
"","","","","","","","",68.0
"","German Indologist","","","","","","",68.0
"","","","","","","","",80.0
"","","","","Artist","","","",67.0
"","","","","","","","",47.0
"","","","","",1605.0,"","",55.0
"","","","","","","","",41.0
"","","","","","","","",71.0
"","","","","","","","",79.0
"","","","","","",1940.0,"",82.0
"","","","","Artist","","","",84.0
"","","","","","","","",69.0
"","","","","","","","",54.0
"","","","","","","","",75.0
"","","","","","","","",65.0
"","","","","","","","",77.0
"","","","","",1929.0,"","",88.0
"","","","","","",1910.0,"",77.0
"","","","","","","","",62.0
"","","","","","","","",46.0
"Katie Sandwina","","","","","","","",68.0
"","","","","","",1912.0,"",77.0
"","","","","","","","",90.0
"","","","Germany","","","","",38.0
"","","","","","","","",82.0
"","","","","","",1971.0,"",85.0
"","","","","Architect","","","",77.0
"","","","","","","","",75.0
"","","","","","","","",81.0
"","","","","","","","",58.0
"","","","","","","","",71.0
"","","","","","","","",69.0
"","","","","","",2003.0,"",87.0
"","","","","","","","",47.0
"","","","","","","","",84.0
"","","","","","","","",97.0
"","","","","","","","",72.0
"","","","","","","","",29.0
"","","","","","","","",93.0
"","","","","","","","",75.0
"","","","","","","","",67.0
"","","","","",1872.0,"","",68.0
"","","","","","","","",56.0
"","","","","","","","",63.0
"","","","","","","","",45.0
"","","","","","","","",64.0
"","","Male","","","","","",62.0
"","","","","","","","",73.0
"","","","","","","","",61.0
"","","","","Religious figure","","","",43.0
"","","","","","","","",69.0
"Regina Protmann","","","","","","","",61.0
"","","","","",1846.0,"","",80.0
"","","","","","","","",73.0
"","","","","","","","",55.0
"","","","","","","","",79.0
"","","","","","","","",84.0
"","","","","","","","",65.0
"","","","","","","","",49.0
"","","","","","","","",60.0
"","","","","","","","",85.0
"","","","Germany","","","","",65.0
"","","","","","","","",88.0
"","","Male","","Artist","","","",85.0
"Julius von Schlosser","","","","","","","",72.0
"","","","","",1095.0,"","",65.0
"","","","Austria","","","","",36.0
"","","","","","",1680.0,"",61.0
"","","","","","",1898.0,"",64.0
"","","","","","","","",89.0
"","Austrian botanist (1840-1917)","","","","","","",77.0
"","","","","","","","",76.0
"","","","","","","","",87.0
"","","","","","","","",49.0
"","","","","","","","",66.0
"","","","","","","","",85.0
"","","","","","","","",82.0
"","","","","","","","",58.0
"","","","","","","","",69.0
"","","","","","","","",66.0
"","","","","","",1513.0,"",49.0
"","","","","","","","",33.0
"Ernst Kupfer","","","","","","","",36.0
"","","","","",1863.0,"","",64.0
"","","","","","","","",69.0
"","","","","","","","",59.0
"","","Male","","Engineer","","","",64.0
"","","","","","",1940.0,"",61.0
"","","","","","","","",76.0
"","","","","","","","",82.0
"","","","","","","","",44.0
"","","","","","","","",60.0
"","","","","","","","",56.0
"","","","","",1795.0,"","",81.0
"","","","","","","","",86.0
"","","","","","","","",50.0
"","Prince of Anhalt-Bernburg-Schaumburg-Hoym","","","","","","",83.0
"","","","","","","","",69.0
"","","","","","","","",79.0
"Alexander Sigismund von der Pfalz-Neuburg","","","","","","","",74.0
"","","","Austria","",1901.0,"","",81.0
"","","","","","","","",26.0
"","Czech patologist","","","","","","",44.0
"","","","","","","","",78.0
"","","","","","","","",23.0
"","","","","","","","",68.0
"","","","","","","","",92.0
"","","","","","","","",75.0
"","","","Germany","","","","",51.0
"","","","","","","","",69.0
"","","","","","","","",52.0
"","","","","","","","",70.0
"","","","","","","","",68.0
"","","","","","","","",69.0
"","German nobleman; ruling Count of Hohenzollern","","","","","","",55.0
"","","","","","","","",68.0
"","","","","","","","",59.0
"","","","","","","","",62.0
"","","","","","","","",71.0
"","","","","","","","",74.0
"","","","","","","","",57.0
"","","","","","","","",74.0
"","","","","Researcher","","","",67.0
"Otto Marburg","","","","","",1948.0,"",74.0
"","","","","","","","",89.0
"","architect from Austria","","","","","","",94.0
"","","","","","","","",76.0
"","","","","","","","",69.0
"","","","Germany","",1849.0,"","",70.0
"","","","","","","","",66.0
"Otto Nuschke","","","","","","","",74.0
"","","","","","","","",65.0
"","","","","","","","",71.0
"","","","","","","","",62.0
"","","Male","","","","","",84.0
"Johann Georg Hagen","","","","","","","",83.0
"","","","","","","","",56.0
"","","Male","","","","","",83.0
"","","","","",1833.0,"","",69.0
"","","Male","","","","","",52.0
"","","","","","","","",95.0
"","","","","","","","",50.0
"","","","","","","","",60.0
"","","","","","","","",79.0
"","","","Austria","","","","",83.0
"Gustaw Gizewiusz","","","","","","","",38.0
"","","","","","","","",62.0
"","","","","","","","",76.0
"","","","","","","","",71.0
"","","","","","","","",60.0
"","","","","","","","",80.0
"","","","","","","","",95.0
"","","","","","","","",66.0
"","","","","","","","",33.0
"","","","","","","","",35.0
"","","","","","","","",36.0
"Anton Rintelen","","","","","","","",70.0
"Josef Erber","","","","","","","",90.0
"Christian Lobeck","","","","","","","",79.0
"","","","","","","","",88.0
"","","","","","","","",72.0
"","","","","","","","",92.0
"","","","","","","","",88.0
"","","","","","","","",38.0
"","","","","Religious figure","","","",71.0
"Carl Friedrich Wenzel","","","","","","","",53.0
"","","","","","","","",90.0
"","","","","","","","",80.0
"","","","","","","","",68.0
"","","","","","",1892.0,"",72.0
"","","","","","","","",80.0
"","","","","","","","",88.0
"","","","","","","","",55.0
"","","","","","","","",78.0
"","","","","","","","",73.0
"","","","","","","","",94.0
"Gerhard Pfeiffer","","","","","",2000.0,"",77.0
"","","","","","","","",29.0
"","","","","","","","",78.0
"","","","","","","","",86.0
"","German actress (1905-1990)","","","","","","",85.0
"","Austrian physician","","","","","","",67.0
"","","","","","","","",57.0
"","","","","","","","",75.0
"","","","","","","","",61.0
"","","","","","","","",78.0
"","","","","","","","",62.0
"","","","","","","","",86.0
"","","","","","","","",55.0
"Jürgen Ehlers","","","","","","","",79.0
"","","","","","","","",60.0
"Peter Friedrich Röding","","","","","","","",79.0
"","","","","","","","",77.0
"","","","","Researcher","","","",74.0
"","","","","","","","",92.0
"","","","","","","","",42.0
"Franz Ritter von Hauer","","","","","","","",77.0
"","","","","","","","",58.0
"","Austrian mycologist (1924-2002)","","","","","","",78.0
"","","","","","","","",61.0
"","","","","","","","",75.0
"","","","","","",1985.0,"",95.0
"","","","","","","","",53.0
"","","","","","","","",95.0
"","German philologist","","","","","","",79.0
"","","","","","","","",91.0
"","","","","","","","",44.0
"","","","","","","","",82.0
"Wolfgang Stolper","","","","","","","",90.0
"","","","","","","","",87.0
"","","","","","","","",84.0
"","","","","","","","",76.0
"","","","","","","","",55.0
"","","","","","","","",39.0
"","","","","","","","",77.0
"","","","","","","","",71.0
"","","","","","","","",61.0
"","","","","","","","",63.0
"Michael Haberlandt","Austrian indologist, writer and orientalist","","","","","","",80.0
"","","","","","","","",80.0
"","","","","","","","",86.0
"","","","","","","","",73.0
"","","","","","","","",78.0
"","","","","","","","",54.0
"","","","","","","","",97.0
"","","Male","","","","","",63.0
"Johann Jakob Zeiller","","","","","","","",75.0
"","","","","","","","",83.0
"","","","","","","","",75.0
"","German politician, Lower Saxony Landtag member (1889-1963)","","","",1889.0,"","",74.0
"","","","","","","","",60.0
"","","","","","","","",34.0
"","","","","","","","",85.0
"","German politician (1868-1945)","","","","","","",77.0
"","","","","","","","",56.0
"","","","","","","","",81.0
"","","","","","","","",76.0
"","","","","","","","",76.0
"","","","","","","","",88.0
"","Gestapo interrogator","","Germany","","","","",80.0
"","","","","","","","",31.0
"","","Male","","","","","",83.0
"","","","","","","","",59.0
"","","","","","","","",75.0
"","","Male","","","","","",37.0
"","","","","","","","",87.0
"","","","","","","","",80.0
"","","","","","","","",81.0
"","","Male","","","","","",49.0
"","","","","","","","",45.0
"","Austrian-Hungarian General and Minister of War (1849-1933)","","","","","","",84.0
"","","","","","","","",86.0
"","","","","","","","",86.0
"","German businessman","","","","","","",29.0
"","","","","",1872.0,"","",73.0
"","","","","","","","",51.0
"","","Male","Germany","","","","",76.0
"","","","","","","","",51.0
"","","","","","","","",73.0
"","","","","","","","",62.0
"","","","","","","","",97.0
"","","","","","","","",78.0
"","","","","","","","",82.0
"","","","","","","","",72.0
"","","","","","",1995.0,"",77.0
"Balthasar Linsinger","","","","","","","",84.0
"","","","","","","","",65.0
"","","","","","","","",54.0
"","","","","","","","",67.0
"","","","","","","","",75.0
"Meinhardt Schomberg, 3rd Duke of Schomberg","English general","","","","","","",78.0
"","","","","","","","",90.0
"","","","Kingdom of Prussia","","","","",68.0
"","","","","","","","",52.0
"","","","","","","","",88.0
"","","","","","","","",59.0
"Peter Voigtländer","","","","Artist","","","",66.0
"","","","","","","","",24.0
"","","","Austria","","","","",45.0
"","","","","","","","",91.0
"","","","","","",1902.0,"",62.0
"","","","","","","","",73.0
"","","","","","","","",56.0
"","","","","","","","",61.0
"","","","","","","","",44.0
"","","","","","","","",75.0
"","","","","","","","",61.0
"","","","","","","","",79.0
"","","","","Physician","","","",73.0
"","","","","","",1564.0,"",65.0
"","","","","","","","",57.0
"","German actor and director","","","","",1891.0,"",54.0
"","","","","","","","",72.0
"","","","","","","","",68.0
"","Austrian Archduchess","","","","","","",77.0
"Heidemarie Hatheyer","","","","","","","",72.0
"","","","","Artist","","","",55.0
"","","","","","","","",61.0
"","","","","","","","",75.0
"","","","","","","","",84.0
"","","","","",1511.0,"","",53.0
"","","","","","","","",59.0
"","","","","",1944.0,"","",55.0
"","","","","","","","",76.0
"","","","","","","","",80.0
"","","","","","","","",76.0
"","","","Germany","","","","",56.0
"","","","","","","","",75.0
"Wolfgang Krause","","","","","","","",75.0
"Karl Heider","","","","","","","",79.0
"","","","","","","","",69.0
"","","Male","Austria","","","","",81.0
"","Italian architect and stage set designer","","","","","","",58.0
"","","Female","","","","","",62.0
"","","","","","","","",54.0
"","","","","","","","",60.0
"","","","","","","","",45.0
"","","","","","","","",27.0
"","","","","","","","",66.0
"","","","","","","","",61.0
"","","","","","","","",90.0
"","","","","","","","",83.0
"","","","","","","","",42.0
"","","","","",1915.0,1991.0,"",76.0
"","","","","Artist","","","",71.0
"","","","Austria","","","","",74.0
"","","","","","","","",81.0
"","","","","","","","",64.0
"","","","","",1875.0,"","",78.0
"","","","","","","","",69.0
"","","","","","","","",83.0
"","","","","","","","",71.0
"","","","","","","","",69.0
"","","","","","",2011.0,"",95.0
"","","","","Artist","","","",90.0
"","","","","","","","",37.0
"","","","","","","","",68.0
"","","","","","","","",75.0
"","","","","","","","",75.0
"","","","","","","","",82.0
"","","","","","","","",79.0
"","","","","","","","",74.0
"Gerd Honsik","","","","","","","",77.0
"","","","","","","","",76.0
"","","","","","","","",77.0
"","","","","","","","",71.0
"","","","","","","","",43.0
"","","","","","","","",65.0
"","","","","","","","",61.0
"","","","Germany","","","","",71.0
"","","","","","","","",80.0
"","","","","",1811.0,"","",69.0
"","","","","","","","",52.0
"","","","","Prostitute","","","",24.0
"","","","","",1808.0,"","",76.0
"Georg Joseph Beer","","","","","","","",58.0
"","","","","","","","",73.0
"","","","","","","","",93.0
"","","","","","","","",74.0
"","German, Austrian born, World War II fighter pilot","","","","","","",24.0
"","","","","","","","",87.0
"","","","","","","","",78.0
"","","Male","","","","","",60.0
"","","","","","","","",80.0
"","","","","","","","",78.0
"","","","","","","","",71.0
"Louis Henry, Count Palatine of Simmern-Kaiserslautern","German noble","","","","","","",34.0
"","","","","","","","",60.0
"","","","","","","","",78.0
"","","","","","","","",51.0
"","German racing driver","","","","","","",75.0
"","","","","",1887.0,"","",58.0
"","","","","","","","",84.0
"","","","","","","","",74.0
"","","","","","","","",62.0
"","","","","","","","",62.0
"Cyrill Demian","","","","","","","",75.0
"","","","","","","","",28.0
"","","","","","","","",93.0
"","","","","",1862.0,"","",78.0
"","","","","","","","",68.0
"","","","","","","","",40.0
"","","","","","","","",90.0
"","","","","Researcher","","","",73.0
"","","Male","","","",1973.0,"",63.0
"","","","","","","","",67.0
"","","","","","","","",62.0
"","","","","","","","",72.0
"","","","","","","","",61.0
"","","","","","","","",85.0
"","","","","","","","",52.0
"","","","","","","","",82.0
"","","","","","","","",74.0
"","","","","","","","",83.0
"","","","","","","","",98.0
"","","","","","","","",84.0
"","","Female","","","","","",74.0
"","","","","","","","accident",46.0
"","","","","","","","",56.0
"","German theologian and philosopher","","","","","","",90.0
"","","","","","","","",92.0
"","","","","","","","",91.0
"","","","","","","","",63.0
"","","","","","","","",64.0
"","","","","",1827.0,"","",87.0
"","","","","","","","",51.0
"","","","","","","","",79.0
"","","","","",1925.0,"","",80.0
"","","","","","","","",88.0
"","","","","","","","",57.0
"","","","","","","","",89.0
"","","Male","","","","","",70.0
"","","","","","","","",86.0
"","","","","","","","",69.0
"","","","","","","","",81.0
"","","","","","","","",80.0
"","","","","","","","",69.0
"","","","","","","","",71.0
"","","","","","","","",72.0
"","","","","","","","",64.0
"","","","","","",1958.0,"",72.0
"","","","","","","","",86.0
"","","","","Artist","",1920.0,"",74.0
"","","","","","","","",78.0
"","","","","","","","",59.0
"","","Female","","Artist","","","",82.0
"","","","Germany","","","","",63.0
"","","","","",1892.0,"","",84.0
"","","","","","","","",72.0
"","","","","","","","",76.0
"","","","","","","","",51.0
"","","","","","","","",75.0
"","","","","","","","",82.0
"","","","Germany","","","","",69.0
"","","","","","","","",23.0
"","","","","","","","",63.0
"","","","","","","","",49.0
"","","","","","","","",95.0
"","","","","","","","",19.0
"","","","","","","","",57.0
"","","","","","","","",55.0
"","","","","","","","",79.0
"","","","","",1893.0,"","",91.0
"","","","","","","","",66.0
"","","","","","","","",97.0
"","","","","","","","",37.0
"","","","","","","","",72.0
"","","","","","","","",79.0
"","","","","","","","",77.0
"","","","","","","","",36.0
"","","","","","","","",70.0
"","","","","","","","",73.0
"","","Male","","","","","",69.0
"","","","","","","","",68.0
"","","Male","","","","","",83.0
"","","","","","","","",63.0
"","","","","","","","",53.0
"","","","","","","","",96.0
"","","","","","","","",78.0
"","","","Austria","","","","",62.0
"","","","","","",1882.0,"",77.0
"","","","","","","","",85.0
"","","","","","","","",81.0
"","","","","","","","",94.0
"","","","","","","","",33.0
"","","","","","","","",79.0
"","","","","","","","",59.0
"","","","","","","","",74.0
"","","","","","","","",76.0
"","Austrian scientist (1823-1912)","","","","","","",89.0
"","","","","","","","",89.0
"","German legal scholar","","","","","","",89.0
"","","","","","","","",53.0
"","","","","","","","",79.0
"","","","","","","","",94.0
"","","","","","","","",71.0
"","","","","","","","",57.0
"","","","","",1848.0,"","",74.0
"","","","","","","","",82.0
"","","","","","","","",77.0
"","","","","","","","",91.0
"","","","","","","","",65.0
"","","","","","","","",63.0
"","","","","","","","",72.0
"","","","","","","","",71.0
"","","Male","","","","","",67.0
"","","","","","","","",57.0
"","","","","","","","",86.0
"","","","","","","","",91.0
"","","","","","","","",53.0
"","","","","","",1832.0,"",71.0
"","","","","","","","",74.0
"","","","","","","","",73.0
"","","","","","","","",63.0
"","","","","","","","",63.0
"","","","","","","","",69.0
"","","","","","","","",71.0
"","","","","","","","",72.0
"","","","","","","","",81.0
"","","","","","","","",75.0
"","","Male","","","","","",67.0
"","","","","","","","",87.0
"","","","","","","","",51.0
"","","","","","","","",69.0
"","","","Germany","","","","",88.0
"","","","","","","","",79.0
"","","","","","","","",80.0
"","","","","","",1898.0,"",63.0
"","","","","","","","",76.0
"","","","","","","","",70.0
"","","","","","","","",82.0
"","","","","","","","",84.0
"","","","","","",1876.0,"",62.0
"","","","","","","","",68.0
"","","","","",1832.0,1918.0,"",86.0
"","","","","","","","",77.0
"","","","","","","","",86.0
"","Austrian architect","","","","","","",57.0
"","","","","","","","",70.0
"","","","","","","","",67.0
"","","","","","","","",54.0
"","German inventor","","","","","","",82.0
